"ID";"wildsoort";"afschotjaar";"afschot_datum";"provincie";"geslacht.MF";"leeftijdscategorie_MF";"ontweid_gewicht";"aantal_embryos_onbekend";"aantal_embryos";"onderkaaklengte_links";"onderkaaklengte_rechts";"doodsoorzaak";"leeftijd_maanden";"lengte_mm";"Leeftijdscategorie_onderkaak"
13056;"Wild zwijn";2014;"2014-06-22";"Limburg";"Mannelijk";"Frisling";8;NA;NA;NA;NA;"afschot";4;NA;"Frisling"
13057;"Ree";2014;"2014-05-16";"Limburg";"Mannelijk";"Jongvolwassen";14,5;NA;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
13058;"Ree";2015;"2015-03-29";"Limburg";"Vrouwelijk";"Kits";8;FALSE;0;125;125;"afschot";NA;NA;"Niet ingezameld"
13059;"Wild zwijn";2011;"2011-05-23";"Limburg";"Vrouwelijk";"Overloper";26;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13060;"Wild zwijn";2009;"2009-07-11";"Limburg";"Mannelijk";"Frisling";14;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13061;"Wild zwijn";2015;"2015-05-21";"Limburg";"Mannelijk";"Overloper";41;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13062;"Ree";2016;"2016-06-25";"Vlaams-Brabant";"Mannelijk";"Volwassen";22;TRUE;NA;154;NA;"afschot";NA;NA;"Niet ingezameld"
13063;"Ree";2015;"2015-08-21";"Antwerpen";"Mannelijk";"Volwassen";15,7;TRUE;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
13064;"Wild zwijn";2013;"2013-01-24";"West-Vlaanderen";"Vrouwelijk";"Frisling";25,2999992370605;NA;NA;NA;NA;"afschot";6;NA;"Overloper"
13065;"Ree";2016;"2016-02-28";"Limburg";"Vrouwelijk";"Kits";13;FALSE;NA;134;NA;"afschot";NA;NA;"Niet ingezameld"
13066;"Ree";2014;"2014-03-05";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";16;FALSE;2;155;155;"afschot";NA;NA;"Niet ingezameld"
13067;"Ree";2016;"2016-03-15";"Antwerpen";"Vrouwelijk";"Volwassen";15,9;TRUE;NA;111;111;"afschot";34;162;"Adult"
13068;"Ree";2016;"2016-02-16";"Antwerpen";"Mannelijk";"Kits";10,5;TRUE;NA;114;114;"afschot";19;157;"Jongvolwassen"
13069;"Ree";2016;"2016-06-29";"Limburg";"Mannelijk";"Volwassen";18;TRUE;NA;165;165;"afschot";NA;NA;"Niet ingezameld"
13070;"Ree";2016;"2016-08-13";"Limburg";"Mannelijk";"Volwassen";16;TRUE;NA;153;153;"afschot";NA;NA;"Niet ingezameld"
13071;"Ree";2016;"2016-03-30";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";16,3;FALSE;1;154;NA;"afschot";70;155;"Adult"
13072;"Ree";2016;"2016-03-03";"Antwerpen";"Vrouwelijk";"Volwassen";17,5;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13073;"Ree";2015;"2015-02-09";"Limburg";"Mannelijk";"Kits";13,5;TRUE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
13074;"Ree";2015;"2015-02-22";"Limburg";"Vrouwelijk";"Kits";9,7;FALSE;0;167;166;"afschot";19;163;"Jongvolwassen"
13075;"Wild zwijn";2012;"2012-06-16";"Limburg";"Vrouwelijk";"Adult";44;NA;NA;NA;NA;"afschot";11;NA;"Overloper"
13076;"Wild zwijn";2013;"2013-12-20";"Limburg";"Vrouwelijk";"Frisling";35;NA;NA;NA;NA;"afschot";8;NA;"Overloper"
13077;"Ree";2015;"2015-03-04";"Antwerpen";"Vrouwelijk";"Kits";13,8;FALSE;0;153;153;"afschot";NA;148;"Kits"
13078;"Ree";2015;"2015-08-10";"Limburg";"Mannelijk";"Volwassen";18,7;NA;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
13079;"Ree";2016;"2016-05-10";"Antwerpen";"Mannelijk";"Volwassen";17,4;TRUE;NA;111;111;"afschot";25;154;"Adult"
13080;"Ree";2017;"2017-02-24";"Limburg";"Mannelijk";"Jongvolwassen";11;TRUE;NA;135;NA;"afschot";NA;NA;"Niet ingezameld"
13081;"Ree";2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";46;164;"Adult"
13082;"Ree";2015;"2015-05-01";"Antwerpen";"Mannelijk";"Volwassen";19;TRUE;NA;168;168;"afschot";NA;NA;"Niet ingezameld"
13083;"Ree";2014;"2014-08-25";"Limburg";"Mannelijk";"Volwassen";18;NA;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
13084;"Ree";2017;"2017-03-30";"Oost-Vlaanderen";"Vrouwelijk";"Jongvolwassen";17;TRUE;NA;150;NA;"afschot";NA;NA;"Niet ingezameld"
13085;"Ree";2015;"2015-05-10";"Vlaams-Brabant";"Mannelijk";"Jongvolwassen";12,5;TRUE;NA;144;144;"afschot";NA;NA;"Niet ingezameld"
13086;"Ree";2015;"2015-03-21";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";17;FALSE;2;160;160;"afschot";NA;NA;"Niet ingezameld"
13087;"Ree";2014;"2014-03-15";"Limburg";"Mannelijk";"Kits";11,5;NA;NA;130;131;"afschot";NA;NA;"Niet ingezameld"
13088;"Ree";2015;"2015-08-01";"Antwerpen";"Mannelijk";"Jongvolwassen";15,5;TRUE;NA;155;NA;"afschot";NA;NA;"Niet ingezameld"
13089;"Ree";2014;"2014-09-09";"Antwerpen";"Mannelijk";"Volwassen";16,7;NA;NA;162;162;"afschot";NA;NA;"Niet ingezameld"
13090;"Ree";2014;"2014-05-23";"Antwerpen";"Mannelijk";"Kits";11;TRUE;NA;100;100;"afschot";13;141;"Jongvolwassen"
13091;"Ree";2017;"2017-03-13";"Antwerpen";"Vrouwelijk";"Volwassen";18;FALSE;0;166;NA;"afschot";NA;NA;"Niet ingezameld"
13092;"Ree";2016;"2016-01-25";"West-Vlaanderen";"Mannelijk";"Kits";11;TRUE;NA;142;142;"afschot";10;138;"Kits"
13093;"Ree";2017;"2017-03-03";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";16;FALSE;2;154;NA;"afschot";NA;NA;"Niet ingezameld"
13094;"Ree";2014;"2014-03-11";"Antwerpen";"Vrouwelijk";"Volwassen";14;FALSE;2;155;156;"afschot";NA;NA;"Niet ingezameld"
13095;"Ree";2015;"2015-01-23";"Limburg";"Vrouwelijk";"Kits";13;FALSE;0;151;153;"afschot";9;140;"Kits"
13096;"Ree";2016;"2016-07-10";"Vlaams-Brabant";"Mannelijk";"Volwassen";18,5;TRUE;NA;152;NA;"afschot";NA;NA;"Niet ingezameld"
13097;"Ree";2015;"2015-03-08";"Limburg";"Vrouwelijk";"Kits";13;FALSE;0;158;158;"afschot";NA;NA;"Niet ingezameld"
13098;"Wild zwijn";2013;"2013-03-25";"Limburg";"Mannelijk";"Overloper";34;NA;NA;NA;NA;"afschot";13;NA;"Adult"
13099;"Ree";2015;"2015-08-07";"Antwerpen";"Mannelijk";"Volwassen";17;TRUE;NA;160;NA;"afschot";NA;NA;"Niet ingezameld"
13100;"Ree";2015;"2015-03-01";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";21,3;FALSE;1;170;170;"afschot";NA;NA;"Niet ingezameld"
13101;"Ree";2015;"2015-02-05";"Oost-Vlaanderen";"Vrouwelijk";"Jongvolwassen";20;FALSE;2;165;170;"afschot";NA;NA;"Niet ingezameld"
13102;"Ree";2014;"2014-03-02";"Limburg";"Mannelijk";"Kits";15;NA;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
13103;"Ree";2017;"2017-02-05";"Limburg";"Mannelijk";"Kits";11;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13104;"Ree";2014;"2014-09-06";"Oost-Vlaanderen";"Mannelijk";"Volwassen";17;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
13105;"Ree";2015;"2015-05-28";"Limburg";"Mannelijk";"Volwassen";18;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
13106;"Ree";2014;"2014-05-17";"Limburg";"Mannelijk";"Jongvolwassen";14,1;TRUE;NA;137;136;"afschot";NA;NA;"Niet ingezameld"
13107;"Ree";2015;"2015-02-21";"Antwerpen";"Vrouwelijk";"Kits";11,8;FALSE;NA;136;135;"afschot";NA;NA;"Niet ingezameld"
13108;"Ree";2017;"2017-03-21";"Limburg";"Mannelijk";"Kits";11;TRUE;NA;140;NA;"afschot";NA;NA;"Niet ingezameld"
13109;"Ree";2015;"2015-03-21";"Antwerpen";"Vrouwelijk";"Volwassen";15,5;FALSE;0;160;160;"afschot";NA;NA;"Niet ingezameld"
13110;"Ree";2017;"2017-03-11";"Limburg";"Vrouwelijk";"Volwassen";16;FALSE;2;159;NA;"afschot";NA;NA;"Niet ingezameld"
13111;"Ree";2017;"2017-03-16";"Antwerpen";"Mannelijk";"Kits";13,1;TRUE;NA;132;NA;"afschot";NA;NA;"Niet ingezameld"
13112;"Ree";2014;"2014-07-26";"Limburg";"Mannelijk";"Jongvolwassen";13,5;TRUE;NA;146;147;"afschot";NA;NA;"Niet ingezameld"
13113;"Ree";2017;"2017-01-22";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";17,5;FALSE;2;153;NA;"afschot";NA;NA;"Niet ingezameld"
13114;"Ree";2014;"2014-08-04";"Vlaams-Brabant";"Mannelijk";"Volwassen";14,5;TRUE;NA;145;145;"afschot";NA;NA;"Niet ingezameld"
13115;"Ree";2014;"2014-01-04";"West-Vlaanderen";"Vrouwelijk";"Volwassen";17;TRUE;NA;170;170;"afschot";NA;NA;"Niet ingezameld"
13116;"Ree";2014;"2014-03-03";"Limburg";"Vrouwelijk";NA;17,5;FALSE;1;149;158;"afschot";NA;NA;"Niet ingezameld"
13117;"Wild zwijn";2016;"2016-10-13";"Limburg";"Vrouwelijk";"Frisling";26;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13118;"Ree";2016;"2016-07-06";"Oost-Vlaanderen";"Mannelijk";"Volwassen";13;TRUE;NA;144;144;"afschot";NA;NA;"Niet ingezameld"
13119;"Ree";2014;"2014-01-31";"Antwerpen";"Vrouwelijk";"Jongvolwassen";14,1;FALSE;0;140;140;"afschot";NA;NA;"Niet ingezameld"
13120;"Ree";2014;"2014-01-29";"Oost-Vlaanderen";"Mannelijk";"Kits";10,5;TRUE;NA;155;155;"afschot";NA;NA;"Niet ingezameld"
13121;"Ree";2014;"2014-03-18";"Antwerpen";"Mannelijk";"Kits";10;NA;NA;146;146;"afschot";NA;NA;"Niet ingezameld"
13122;"Ree";2015;"2015-07-29";"Limburg";"Mannelijk";NA;NA;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13123;"Wild zwijn";2016;"2016-11-28";"Voeren";"Mannelijk";"Frisling";21;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13124;"Ree";2014;"2014-03-01";"Limburg";"Vrouwelijk";"Volwassen";10,5;FALSE;0;125;125;"afschot";NA;NA;"Niet ingezameld"
13125;"Ree";2016;"2016-08-18";"Antwerpen";"Mannelijk";"Jongvolwassen";17;TRUE;NA;115;116;"afschot";NA;NA;"Niet ingezameld"
13126;"Ree";2017;"2017-02-07";"Limburg";"Vrouwelijk";"Kits";9,8;TRUE;NA;134;NA;"afschot";NA;NA;"Niet ingezameld"
13127;"Ree";2014;"2014-05-19";"Limburg";"Mannelijk";"Jongvolwassen";16,5;TRUE;NA;149;149;"afschot";NA;NA;"Niet ingezameld"
13128;"Ree";2014;"2014-08-15";"Limburg";"Mannelijk";"Volwassen";15;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
13129;"Ree";2017;"2017-03-14";"Limburg";"Mannelijk";"Kits";11;TRUE;NA;143;NA;"afschot";NA;NA;"Niet ingezameld"
13130;"Wild zwijn";2007;"2007-05-30";"West-Vlaanderen";"Vrouwelijk";NA;NA;NA;NA;NA;NA;"verdelging ANB";5;NA;"Overloper"
13131;"Wild zwijn";2015;"2015-02-19";"Limburg";"Vrouwelijk";"Frisling";42;FALSE;NA;NA;NA;"afschot";11;NA;"Frisling"
13132;"Ree";2017;"2017-03-13";"Antwerpen";"Vrouwelijk";"Kits";11,7;FALSE;0;141;NA;"afschot";NA;NA;"Niet ingezameld"
13133;"Wild zwijn";2013;"2013-06-12";"Limburg";"Vrouwelijk";"Overloper";49;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13134;"Ree";2016;"2016-08-24";"Vlaams-Brabant";"Mannelijk";"Volwassen";17,8;TRUE;NA;157;NA;"afschot";NA;NA;"Niet ingezameld"
13135;"Ree";2014;"2014-03-30";"Limburg";"Vrouwelijk";"Kits";8;FALSE;NA;130;130;"afschot";NA;NA;"Niet ingezameld"
13136;"Ree";2016;"2016-02-27";"Antwerpen";"Vrouwelijk";"Kits";10;FALSE;0;138;138;"afschot";9;139;"Kits"
13137;"Wild zwijn";2012;"2012-11-05";"Voeren";"Vrouwelijk";"Adult";NA;NA;NA;NA;NA;"afschot";11;NA;"Overloper"
13138;"Ree";2014;"2014-02-17";"Oost-Vlaanderen";"Vrouwelijk";"Volwassen";18,4;FALSE;1;162;162;"afschot";NA;NA;"Niet ingezameld"
13139;"Wild zwijn";2012;"2012-03-19";"Limburg";"Vrouwelijk";"Overloper";35;NA;NA;NA;NA;"afschot";14;NA;"Adult"
13140;"Wild zwijn";2015;"2015-04-02";"Voeren";"Mannelijk";"Overloper";49;NA;NA;NA;NA;"afschot";10;NA;"Frisling"
13141;"Ree";2016;"2016-02-20";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";18;FALSE;0;155;155;"afschot";19;NA;"Jongvolwassen"
13142;"Ree";2014;"2014-01-20";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";17,5;FALSE;1;143;143;"afschot";NA;NA;"Niet ingezameld"
13143;"Ree";2015;"2015-01-27";"Antwerpen";"Mannelijk";"Kits";15,5;NA;NA;129;129;"afschot";NA;NA;"Niet ingezameld"
13144;"Ree";2015;"2015-02-22";"Oost-Vlaanderen";"Mannelijk";"Kits";14;TRUE;NA;150;150;"afschot";NA;151;"Kits"
13145;"Wild zwijn";2015;"2015-05-26";"Limburg";"Mannelijk";"Overloper";45;NA;NA;NA;NA;"afschot";16;NA;"Overloper"
13146;"Wild zwijn";2014;"2014-07-03";"Limburg";"Mannelijk";"Frisling";10;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13147;"Wild zwijn";2015;"2015-05-15";"Limburg";"Vrouwelijk";"Overloper";42;FALSE;0;NA;NA;"afschot";14;NA;"Overloper"
13148;"Wild zwijn";2015;"2015-05-05";"Limburg";"Mannelijk";"Frisling";41;NA;NA;NA;NA;"afschot";10;NA;"Frisling"
13149;"Ree";2014;"2014-10-01";"Limburg";"Vrouwelijk";"Volwassen";NA;FALSE;2;130;130;"afschot";NA;NA;"Niet ingezameld"
13150;"Ree";2016;"2016-03-27";"Oost-Vlaanderen";"Mannelijk";"Jongvolwassen";12;TRUE;NA;130;NA;"afschot";12;142;"Kits"
13151;"Ree";2015;"2015-03-08";"Antwerpen";"Vrouwelijk";"Kits";12;FALSE;0;127;127;"afschot";NA;146;"Kits"
13152;"Ree";2016;"2016-03-25";"Vlaams-Brabant";"Vrouwelijk";"Kits";13;FALSE;0;140;140;"afschot";NA;NA;"Niet ingezameld"
13153;"Ree";2016;"2016-05-01";"Limburg";"Mannelijk";"Volwassen";18;TRUE;NA;150;NA;"afschot";NA;NA;"Niet ingezameld"
13154;"Wild zwijn";2016;"2016-08-03";"Limburg";"Mannelijk";"Frisling";19;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13155;"Ree";2016;"2016-09-10";"Oost-Vlaanderen";"Mannelijk";"Volwassen";17,6;TRUE;NA;163;NA;"afschot";NA;NA;"Niet ingezameld"
13156;"Ree";2014;"2014-03-06";"Antwerpen";"Vrouwelijk";"Volwassen";16;FALSE;1;165;165;"afschot";NA;NA;"Niet ingezameld"
13157;"Ree";2016;"2016-01-02";"Limburg";"Mannelijk";"Kits";13;TRUE;NA;150;150;"afschot";19;NA;"Jongvolwassen"
13158;"Wild zwijn";2016;"2016-12-03";"Limburg";"Mannelijk";"Frisling";47;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13159;"Ree";2016;"2016-02-27";"Limburg";"Vrouwelijk";"Volwassen";16;FALSE;1;165;165;"afschot";19;160;"Jongvolwassen"
13160;"Ree";2017;"2017-03-07";"Antwerpen";"Vrouwelijk";"Volwassen";19;FALSE;2;157;NA;"afschot";NA;NA;"Niet ingezameld"
13161;"Ree";2014;"2014-03-29";"Limburg";"Vrouwelijk";"Volwassen";16,5;FALSE;1;140;140;"afschot";NA;NA;"Niet ingezameld"
13162;"Ree";2017;"2017-01-30";"Vlaams-Brabant";"Vrouwelijk";"Jongvolwassen";18,5;FALSE;1;158;NA;"afschot";NA;NA;"Niet ingezameld"
13163;"Ree";2015;"2015-07-19";"Limburg";"Mannelijk";"Volwassen";19,7;TRUE;NA;167;167;"afschot";NA;NA;"Niet ingezameld"
13164;"Wild zwijn";2014;"2014-01-18";"Limburg";"Mannelijk";"Overloper";52;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13165;"Wild zwijn";2016;"2016-07-05";"Limburg";"Mannelijk";"Overloper";55;TRUE;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13166;"Ree";2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;"afschot";10;147;"Kits"
13167;"Ree";2014;"2014-08-16";"Limburg";"Mannelijk";"Jongvolwassen";11;TRUE;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
13168;"Ree";2017;"2017-02-19";"West-Vlaanderen";"Vrouwelijk";"Kits";11;FALSE;NA;140;NA;"afschot";NA;NA;"Niet ingezameld"
13169;"Wild zwijn";2012;"2012-07-30";"Limburg";"Mannelijk";"Frisling";17;NA;NA;NA;NA;"afschot";6;NA;"Overloper"
13170;"Ree";2015;"2015-02-10";"Limburg";"Vrouwelijk";"Volwassen";18;FALSE;1;180;180;"afschot";NA;NA;"Niet ingezameld"
13171;"Wild zwijn";2016;"2016-10-08";"Antwerpen";"Vrouwelijk";"Overloper";40;FALSE;0;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13172;"Ree";2016;"2016-05-20";"Vlaams-Brabant";"Mannelijk";"Volwassen";21,5;TRUE;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
13173;"Ree";2016;"2016-03-10";"Vlaams-Brabant";"Mannelijk";"Kits";11;TRUE;NA;134;134;"afschot";19;147;"Jongvolwassen"
13174;"Ree";2014;"2014-05-24";"Antwerpen";"Mannelijk";"Volwassen";15,5;TRUE;NA;151;151;"afschot";NA;NA;"Niet ingezameld"
13175;"Ree";2015;"2015-02-09";"Antwerpen";"Mannelijk";"Kits";14;NA;NA;150;150;"afschot";NA;NA;"Niet ingezameld"
13176;"Ree";2015;"2015-01-26";"Antwerpen";"Vrouwelijk";"Volwassen";16;FALSE;2;157;157;"afschot";NA;NA;"Niet ingezameld"
13177;"Wild zwijn";2009;"2009-06-13";"Limburg";"Mannelijk";"Frisling";26;NA;NA;NA;NA;"afschot";5;NA;"Overloper"
13178;"Wild zwijn";2013;"2013-04-07";"Limburg";"Vrouwelijk";"Frisling";30;NA;NA;NA;NA;"afschot";6;NA;"Overloper"
13179;"Ree";2014;"2014-02-08";"Oost-Vlaanderen";"Vrouwelijk";"Kits";10;FALSE;0;143;143;"afschot";NA;NA;"Niet ingezameld"
13180;"Ree";2014;"2014-07-25";"Antwerpen";"Mannelijk";"Onbekend";21,5;NA;NA;160;160;"afschot";NA;NA;"Niet ingezameld"
13181;"Ree";2015;"2015-03-15";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";20,1;FALSE;2;155;155;"afschot";NA;NA;"Niet ingezameld"
13182;"Ree";2016;"2016-02-18";"Antwerpen";"Vrouwelijk";"Kits";12,9;TRUE;NA;139;139;"afschot";11;141;"Kits"
13183;"Ree";2017;"2017-02-25";"Antwerpen";"Vrouwelijk";"Kits";13,5;FALSE;NA;143;NA;"afschot";NA;NA;"Niet ingezameld"
13184;"Ree";2017;"2017-03-12";"Vlaams-Brabant";"Vrouwelijk";"Kits";11;FALSE;0;155;NA;"afschot";NA;NA;"Niet ingezameld"
13185;"Ree";2016;"2016-01-16";"Antwerpen";"Vrouwelijk";"Kits";14,5;FALSE;0;150;150;"afschot";10;148;"Kits"
13186;"Ree";2016;"2016-02-14";"Antwerpen";"Vrouwelijk";"Volwassen";15,5;FALSE;1;154;153;"afschot";34;152;"Adult"
13187;"Ree";2016;"2016-03-28";"Limburg";"Vrouwelijk";"Kits";13;FALSE;0;155;152;"afschot";9;150;"Kits"
13188;"Ree";2014;"2014-01-26";"Limburg";"Mannelijk";"Kits";12;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13189;"Ree";2016;"2016-07-20";"Limburg";"Mannelijk";"Volwassen";17;TRUE;NA;146;146;"afschot";NA;NA;"Niet ingezameld"
13190;"Ree";2015;"2015-03-14";"Antwerpen";"Vrouwelijk";"Kits";12,5;FALSE;0;146;148;"afschot";NA;144;"Kits"
13191;"Ree";2016;"2016-03-07";"Oost-Vlaanderen";"Vrouwelijk";"Kits";13,8;FALSE;NA;144;143;"afschot";19;NA;"Jongvolwassen"
13192;"Ree";2015;"2015-03-28";"Vlaams-Brabant";"Vrouwelijk";"Kits";12;FALSE;0;136;135;"afschot";NA;135;"Kits"
13193;"Wild zwijn";2014;"2014-12-21";"Voeren";"Mannelijk";"Frisling";11;NA;NA;NA;NA;"afschot";4;NA;"Frisling"
13194;"Ree";2016;"2016-01-25";"Antwerpen";"Vrouwelijk";"Volwassen";15,4;TRUE;NA;111;111;"afschot";46;158;"Adult"
13195;"Ree";2014;"2014-03-10";"Antwerpen";"Vrouwelijk";"Volwassen";12,2;FALSE;2;100;100;"afschot";34;NA;"Adult"
13196;"Ree";2017;"2017-02-14";"Antwerpen";"Vrouwelijk";"Jongvolwassen";15,7;FALSE;0;150;NA;"afschot";NA;NA;"Niet ingezameld"
13197;"Ree";2017;"2017-03-22";"Limburg";"Vrouwelijk";"Kits";10,8;TRUE;NA;151;NA;"afschot";NA;NA;"Niet ingezameld"
13198;"Ree";2014;"2014-03-13";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";18,4;FALSE;0;163;163;"afschot";NA;NA;"Niet ingezameld"
13199;"Wild zwijn";2013;"2013-02-20";"Limburg";"Vrouwelijk";"Overloper";75;NA;NA;NA;NA;"afschot";23;NA;"Adult"
13200;"Ree";2014;"2014-02-08";"Limburg";"Mannelijk";"Kits";12;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13201;"Ree";2017;"2017-02-26";"West-Vlaanderen";"Vrouwelijk";"Kits";11;FALSE;NA;138;NA;"afschot";NA;NA;"Niet ingezameld"
13202;"Ree";2015;"2015-05-19";"Antwerpen";"Mannelijk";"Jongvolwassen";16,2;TRUE;NA;111;111;"afschot";13;144;"Jongvolwassen"
13203;"Ree";2015;"2015-07-29";"Antwerpen";"Mannelijk";"Volwassen";19;TRUE;NA;163;163;"afschot";NA;NA;"Niet ingezameld"
13204;"Ree";2017;"2017-05-17";"Oost-Vlaanderen";"Mannelijk";"Volwassen";21;TRUE;NA;159;NA;"afschot";NA;NA;"Niet ingezameld"
13205;"Ree";2014;"2014-07-28";"Limburg";"Mannelijk";"Volwassen";19;NA;NA;210;200;"afschot";NA;NA;"Niet ingezameld"
13206;"Ree";2014;"2014-09-05";"Antwerpen";"Mannelijk";"Jongvolwassen";17,2;NA;NA;158;160;"afschot";NA;NA;"Niet ingezameld"
13207;"Ree";2016;"2016-08-20";"Vlaams-Brabant";"Mannelijk";"Volwassen";14,6;TRUE;NA;148;148;"afschot";NA;NA;"Niet ingezameld"
13208;"Wild zwijn";2015;NA;"Antwerpen";NA;NA;NA;NA;NA;NA;NA;"afschot";13;NA;"Overloper"
13209;"Wild zwijn";2016;"2016-01-03";"Limburg";"Vrouwelijk";"Overloper";34;TRUE;NA;NA;NA;"afschot";6;NA;"Frisling"
13210;"Ree";2015;"2015-02-22";"Limburg";"Mannelijk";"Kits";14,7;NA;NA;148;148;"afschot";NA;NA;"Niet ingezameld"
13211;"Ree";2014;"2014-02-27";"Antwerpen";NA;"Jongvolwassen";15;FALSE;1;150;150;"afschot";NA;NA;"Niet ingezameld"
13212;"Ree";2016;"2016-03-14";"Limburg";"Vrouwelijk";"Volwassen";14,8;FALSE;2;151;151;"afschot";34;151;"Adult"
13213;"Ree";2015;"2015-08-07";"Antwerpen";"Mannelijk";"Jongvolwassen";16,5;TRUE;NA;154;154;"afschot";NA;NA;"Niet ingezameld"
13214;"Wild zwijn";2015;"2015-12-02";"Limburg";"Vrouwelijk";"Overloper";55;FALSE;10;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13215;"Ree";2016;"2016-03-11";"Antwerpen";"Vrouwelijk";"Jongvolwassen";19,8;FALSE;2;165;165;"afschot";34;NA;"Adult"
13216;"Ree";2014;"2014-02-17";"Limburg";"Mannelijk";"Kits";14;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13217;"Ree";2015;"2015-02-09";"Limburg";"Mannelijk";"Kits";12;NA;NA;122;123;"afschot";NA;NA;"Niet ingezameld"
13218;"Ree";2015;"2015-03-30";"Vlaams-Brabant";"Mannelijk";"Kits";16;TRUE;NA;155;155;"afschot";NA;144;"Kits"
13219;"Wild zwijn";2013;"2013-02-27";"Limburg";"Mannelijk";"Overloper";55;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13220;"Ree";2016;"2016-02-13";"Vlaams-Brabant";"Vrouwelijk";"Volwassen";12,9;FALSE;2;140;145;"afschot";58;150;"Adult"
13221;"Wild zwijn";2011;"2011-08-15";"Limburg";"Mannelijk";"Adult";70;NA;NA;NA;NA;"afschot";NA;NA;"Niet ingezameld"
13222;"Ree";2016;"2016-01-04";"Limburg";"Vrouwelijk";"Volwassen";15;FALSE;0;155;154;"afschot";34;147;"Adult"
13223;"Ree";2015;"2015-03-13";"Limburg";"Vrouwelijk";"Kits";11;FALSE;0;151;151;"afschot";NA;NA;"Niet ingezameld"
13224;"Ree";2017;"2017-03-09";"Antwerpen";"Mannelijk";"Kits";13;TRUE;NA;146;NA;"afschot";NA;NA;"Niet ingezameld"
13225;"Ree";2015;"2015-01-18";"Limburg";"Vrouwelijk";"Volwassen";22,8;FALSE;2;165;164;"afschot";NA;NA;"Niet ingezameld"
13226;"Ree";2015;"2015-07-17";"Antwerpen";"Mannelijk";"Jongvolwassen";15;TRUE;NA;140;140;"afschot";NA;NA;"Niet ingezameld"
13227;"Wild zwijn";2014;"2014-11-08";"Limburg";"Mannelijk";"Frisling";23;NA;NA;NA;NA;"afschot";6;NA;"Frisling"
13228;"Ree";2016;"2016-03-23";"Limburg";"Vrouwelijk";"Volwassen";16;FALSE;2;165;165;"afschot";100;NA;"Adult"
13229;"Ree";2016;"2016-02-07";"Limburg";"Mannelijk";"Kits";9;TRUE;NA;141;142;"afschot";11;141;"Kits"
13230;"Ree";2016;"2016-01-05";"Limburg";"Mannelijk";"Kits";8,5;TRUE;NA;130;131;"afschot";9;131;"Kits"
13231;"Ree";2014;"2014-02-24";"Antwerpen";"Mannelijk";"Kits";11;TRUE;NA;142;142;"afschot";9;NA;"Kits"
13232;"Wild zwijn";2016;"2016-08-02";"Limburg";"Mannelijk";"Volwassen";60;TRUE;NA;NA;NA;"afschot";16;NA;"Overloper"
