"ID";"wildsoort";"postcode_afschot_locatie";"gemeente_afschot_locatie";"provincie";"afschotjaar"
23473;"Ree";3560;"Linkhout";"Limburg";2007
23474;"Ree";2880;"Bornem";"Antwerpen";2013
23475;"Ree";3740;"Beeverst-Bilzen";"Limburg";2012
23476;"Ree";3980;"TESSENDERLO";"Limburg";2017
23477;"Wild zwijn";3690;"ZUTENDAAL";"Limburg";2018
23478;"Ree";9080;"LOCHRISTI";"Oost-Vlaanderen";2017
23479;"Ree";3800;"Binderveld";"Limburg";2011
23480;"Ree";3150;"Haacht";"Vlaams-Brabant";2007
23481;"Wild zwijn";3530;NA;"Limburg";2013
23482;"Ree";3980;"Maaseik";"Limburg";2003
23483;"Ree";3680;"0poeteren";"Limburg";2003
23484;"Ree";2490;"Balen";"Antwerpen";2007
23485;"Ree";3945;"HAM";"Limburg";2016
23486;"Wild zwijn";3590;"DIEPENBEEK";"Limburg";2016
23487;"Ree";2990;"LOENHOUT";"Antwerpen";2012
23488;"Ree";3040;"Huldenberg";"Vlaams-Brabant";2011
23489;"Ree";3350;"Linter";"Vlaams-Brabant";2007
23490;"Ree";2390;"Malle";"Antwerpen";2010
23491;"Ree";2980;"ZOERSEL";"Antwerpen";2016
23492;"Ree";9160;"LOKEREN";"Oost-Vlaanderen";2015
23493;"Ree";3950;"BOCHOLT";"Limburg";2015
23494;"Ree";NA;NA;"Limburg";2015
23495;"Ree";3440;"ZOUTLEEUW";"Vlaams-Brabant";2016
23496;"Ree";2390;"Malle";"Antwerpen";2004
23497;"Ree";3380;"Glabbeek";"Vlaams-Brabant";2007
23498;"Ree";2380;"RAVELS";"Antwerpen";2014
23499;"Ree";3050;"OUD-HEVERLEE";"Vlaams-Brabant";2014
23500;"Ree";3050;"";"Vlaams-Brabant";2012
23501;"Ree";1730;"ASSE";"Vlaams-Brabant";2018
23502;"Ree";3960;"BREE";"Limburg";2014
23503;"Ree";2230;"HERSELT";"Antwerpen";2014
23504;"Ree";2230;"Herselt";"Antwerpen";2004
23505;"Ree";2990;"LOENHOUT";"Antwerpen";2003
23506;"Ree";8950;"HEUVELLAND";"West-Vlaanderen";2017
23507;"Ree";2900;"Schoten";"Antwerpen";2013
23508;"Wild zwijn";3990;"PEER";"Limburg";2016
